DATE              MODEL                 MARKET            CUSTOMER              SUBTOTAL       FINANCING        INSURANCE BROKER                INSURANCE CONTACT           NOTES
2025-02-01        Tesla Model S         Consumer          Alex Whitmore           92,500              36        AVANT INSURANCE BROKERS Ltd     Natalie Chambers
2025-02-03        Tesla Model 3         Consumer          Jamie Caldwell          47,990              72        INTACT INSURANCE                Owen Gallagher
2025-02-07        Tesla Model X         Consumer          Morgan Davidson         99,990              72        GEMSTAR INSURANCE               Victoria Rhodes
2025-02-10        Tesla Model Y         Consumer          Casey Lambert           53,490              48        INTACT INSURANCE                Caleb Warren
2025-02-12        Tesla Model S         Commercial        Simmons LLC             89,750              60        WESTERN FINANCIAL GROUP INC     Madison Pierce
2025-02-14        Tesla Roadster        Consumer          Riley Beckett          200,000              84        RED RIVER MUTUAL                Elijah Blake
2025-02-15        Tesla Model 3         Consumer          Jordan Holloway         45,990              36        AVANT INSURANCE BROKERS LTD     Hazel Montgomery
2025-02-18        Tesla Model X         Consumer          Avery Lancaster        102,490              72        WPG INSURANCE BROKERS LTD       Connor Jennings
2025-02-19        Tesla Model Y         Consumer          Cameron Fletcher        51,990              36        BELL INSURANCE AGENCIES LTD     Stella Harper
2025-02-21        Tesla Model S         Consumer          Drew Callahan           91,250              48        WYATT DOWLING INSURANCE BRO     Julian Vaughn 
2025-02-22        Tesla Cybertruck      Commercial        Luxewood Corp.         205,000            CASH        HUB INTERNATIONAL               Isaac Bennett              cssactf{r3TurN-t0-Cu5t0m3R-5ed363eb}
2025-02-23        Tesla Model X         Consumer          Peyton Monroe          100,750              60        ONE INSURANCE KILDONAN          Audrey Whitman
2025-02-25        Tesla Model 3         Consumer          Charlie Devereaux       46,500              60        TEAM INSURANCE BROKERS INC      Zoey Franklin
2025-02-26        Tesla Model Y         Consumer          Frankie Winslow         54,200              36        CANADA-WEST ASSURANCE           Nathaniel Douglas
2025-02-27        Tesla Model S         Consumer          Alex Montague           93,990              36        RED RIVER MUTUAL                Lucy Chandler
2025-02-28        Tesla Model X         Consumer          Taylor Fairchild        98,500              72        TEAM INSURANCE BROKERS INC      Dominic Hayes
2025-02-28        Tesla Model Y         Consumer          Jamie Ashford           52,750              36        HUB INTERNATIONAL               Penelope Carrington
